Date,Close,Open,High,Low,Volume,Change_Pct,Daily_Sentiment_Mean,Daily_Sentiment_Std,Positive_Count,Negative_Count,Neutral_Count,Total_Articles,Sentiment_Ratio
2026-02-01,76976.1,78720.6,79355.0,75766.8,76610.0,-2.22,-0.5,1.0,1,3,0,4,-0.5
2026-02-02,78720.6,76956.6,79251.0,74635.5,124030.0,2.27,-0.4,0.8944271909999159,1,3,1,5,-0.4
2026-02-03,75724.8,78725.6,79158.4,73004.3,112170.0,-3.81,-0.3333333333333333,0.5773502691896258,0,1,2,3,-0.3333333333333333
2026-02-04,73137.0,75734.8,76929.2,71913.4,113350.0,-3.42,-0.9333333333333332,0.8144527815247078,0,2,1,3,-0.6666666666666666
2026-02-05,62857.9,73136.1,73292.0,62562.2,259100.00000000003,-14.05,-0.25,0.9574271077563381,1,2,1,4,-0.25
2026-02-06,70555.7,62863.8,71696.0,60187.0,234060.0,12.25,-0.25,0.9574271077563381,1,2,1,4,-0.25
2026-02-07,69319.5,70556.0,71570.4,67397.4,113640.0,-1.75,-1.0,0.0,0,2,0,2,-1.0
2026-02-08,70342.0,69318.8,72204.2,68888.1,64849.99999999999,1.48,-1.0,0.0,0,1,0,1,-1.0
2026-02-09,70127.9,70356.0,71379.5,68389.3,89050.0,-0.3,1.0,0.0,1,0,0,1,1.0
2026-02-11,67048.8,68809.2,69273.9,65790.0,89970.0,-2.56,0.0,0.0,0,0,1,1,0.0
2026-02-12,66248.7,67048.8,68349.5,65138.1,79760.0,-1.19,-0.3333333333333333,0.816496580927726,1,3,2,6,-0.3333333333333333
2026-02-13,68883.4,66234.1,69405.5,65871.0,70100.0,3.98,-1.0,0.0,0,1,0,1,-1.0
2026-02-14,69784.4,68828.7,70494.5,68725.6,56530.0,1.31,0.0,0.0,0,0,1,1,0.0
2026-02-15,68813.8,69797.0,70961.2,68076.1,59220.0,-1.39,1.0,0.0,1,0,0,1,1.0
2026-02-18,66473.2,67495.7,68445.8,65896.5,56700.0,-1.51,0.0,0.0,0,0,1,1,0.0
2026-02-19,66978.9,66466.7,67304.6,65653.5,53720.0,0.76,0.0,1.4142135623730951,1,1,0,2,0.0
2026-02-20,68023.5,66983.7,68299.4,66501.8,90380.0,1.56,-1.0,0.0,0,1,0,1,-1.0
2026-02-22,67642.9,68003.0,68243.1,67197.7,32600.0,-0.54,-1.0,0.0,0,1,0,1,-1.0
2026-02-23,64662.7,67640.0,67665.4,63939.0,108840.0,-4.41,-1.0,0.0,0,2,0,2,-1.0
2026-02-24,64048.8,64655.2,65002.3,62650.1,79660.0,-0.95,-1.0,0.0,0,2,0,2,-1.0
2026-02-25,67978.8,64058.2,69819.3,63930.4,105590.0,6.14,0.0,0.0,0,0,2,2,0.0
2026-02-26,67482.1,67987.2,68842.9,66573.7,72070.0,-0.73,0.5,0.7071067811865476,1,0,1,2,0.5
2026-02-27,65870.2,67487.7,68190.8,65018.7,75210.0,-2.39,0.10000000000000002,1.1532562594670797,1,1,1,3,0.0
2026-03-01,65763.3,66990.7,68159.2,65093.1,71350.0,-1.84,0.0,1.4142135623730951,1,1,0,2,0.0
2026-03-03,68318.5,68802.7,69213.3,66288.7,80590.0,-0.69,-0.3333333333333333,0.5163977794943222,0,2,4,6,-0.3333333333333333
2026-03-04,72768.7,68319.3,74031.0,67426.4,136550.0,6.51,1.0,0.0,1,0,0,1,1.0
2026-03-10,69951.9,68424.7,71742.9,68401.8,93010.0,2.22,-1.0,0.0,0,1,0,1,-1.0
2026-03-13,70957.0,70500.3,73904.1,70396.4,99060.0,0.66,0.0,0.0,0,0,1,1,0.0
2026-03-16,74864.1,72816.2,74900.7,72307.2,89610.0,2.81,0.0,0.0,0,0,1,1,0.0
2026-03-20,70517.2,69921.8,71347.1,69405.0,58030.0,0.86,1.0,0.0,1,0,0,1,1.0
2026-03-21,68880.5,70513.2,71058.4,68643.6,35790.0,-2.32,1.0,0.0,1,0,0,1,1.0
2026-03-26,68812.6,71326.8,71419.0,68172.2,68450.0,-3.52,0.0,0.0,0,0,1,1,0.0
2026-03-27,66395.8,68812.6,69153.6,65578.2,92630.0,-3.51,0.0,0.0,0,0,1,1,0.0
2026-03-28,66364.3,66396.0,67265.5,65947.7,36570.0,-0.05,0.0,0.0,0,0,1,1,0.0
2026-03-30,66754.6,65995.6,68097.9,65795.1,63650.0,1.15,-0.5,0.7071067811865476,0,1,1,2,-0.5
2026-03-31,68268.3,66764.1,68503.4,66004.6,70230.0,2.27,0.16018518518518518,0.9580880312718244,52,35,21,108,0.1574074074074074
